"","X","ASR","num_gaps","scaffold_count","scaffold_N50","contig_count","contig_N50","gap_length","gap_length_per","CDSs","CDSs_model","CDSs_known","CDSs_fully_supported","CDSs_ab_initio","CDSs_model_per","CDSs_known_per","CDSs_fully_supported_per","CDSs_ab_initio_per","Length_mean_genes","Length_mean_transcripts","Length_mean_cds","Length_mean_exons","Length_mean_introns","Num_proteins","Num_transcripts","Num_proteins_hsapiens","Num_transcripts_hsapiens","Num_rnaseq_reads","Num_tissues","Num_runs","ASR_predicho","ASR_normalizado_division","ASR_normalizado_resta","ASR_normalizado_resta_min"
"15",14,2.98346648910723,147442,8524,115033041,155965,30111,124546479,0.0495719264134142,54530,54219,15,52120,941,0.994296717403264,0.000275077938749312,0.955804144507611,0.0172565560242069,35536.9,3030.69,2004.76,317.18,5951.02,118626,450288,62538,0,4257360031,37,117,2.45944270740059,1.21306606579199,0.52402378170664,2.83430905139597
"16",15,2.49658186893472,512,322,83338043,321,15146802,15158102,0.00815266462814383,38847,38469,278,36232,1461,0.990269518881767,0.00715627976420316,0.932684634592118,0.037609081782377,32139.5,2580.36,2086.15,256.725,5280.63,108191,10835,61492,0,2342784260,20,88,2.02731615677664,1.23147140153226,0.469265712158079,2.77955098184741
"17",16,2.95268466286694,155,134,88025743,134,31900497,7546091,0.00363532386902004,48806,48673,0,47201,892,0.997274925214113,0,0.967114699012417,0.0182764414211367,42496.8,3322.85,2068.38,312.188,5696.37,0,0,0,0,0,0,0,2.76999168809627,1.06595434042484,0.182692974770668,2.49297824446
"18",17,2.81992911220335,876,77,171742863,77,6892556,15088836,0.00715506497558381,47220,46999,0,45485,946,0.995319779754341,0,0.963257094451504,0.0200338839474799,37162.8,3201.27,2049.21,323.134,5401.68,95248,360230,59396,0,5983967570,20,91,2.65562110333168,1.06187178158267,0.16430800887167,2.474593278561
"19",18,2.63620855502532,2291,1857,114273790,1856,3487364,1128377,0.000455876590343801,48592,48177,0,46407,998,0.991459499506092,0,0.95503375041159,0.0205383602239052,37719.4,3149.49,2017.17,311.261,5663.91,116719,125071,60843,79065,7778617470,61,185,2.44092467120786,1.08000405998634,0.195283883817461,2.50556915350679
"20",19,2.4176518541769,65245,63791,141453419,63791,75409,6638100,0.00282042825927221,43409,43269,0,40199,1592,0.996774862355733,0,0.926052201156442,0.0366744223548112,35457.1,2455.95,1863.93,264.754,5505.92,76181,750211,53845,0,1508929024,14,20,1.94376581901753,1.24379790534587,0.473886035159366,2.7841713048487
"21",20,2.84807012260539,509,2377,35886894,2761,12782853,15092155,0.00530669684578875,51472,51297,33,50257,693,0.996600093254585,0.00064112527199254,0.976394933167547,0.0134636307118433,47289,3233.35,1964.62,333.841,6784.22,220124,10552666,184725,9019986,530461030,7,7,3.08445520147665,0.923362453519152,-0.236385078871259,2.07390019081807
"22",21,2.43872224001421,840,54,147275701,54,7503561,2779342,0.00115430275048812,42155,42066,0,40077,1165,0.997888743921243,0,0.950705728857787,0.0276361048511446,40073.9,2953.83,1977.27,299.634,5555.1,81867,452001,59396,0,3152975833,12,116,2.34266254347102,1.04100449585063,0.0960596965431919,2.40634496623252
"23",22,2.85961220468594,2832,3257,144559847,3256,5723610,283062,9.31591694956042e-05,53850,53697,5,52578,670,0.997158774373259,9.28505106778087e-05,0.976378830083565,0.0124419684308264,45987,3063.1,1902.69,320.11,6904.83,220129,10552445,184729,9019998,1131968672,4,25,3.08385863797747,0.927283815629565,-0.224246433291527,2.0860388363978
"24",23,3.44060175008793,146713,28,118621203,27,30483,203565473,0.0811928463184088,54522,54407,0,53091,658,0.997890759693335,0,0.973753714097062,0.0120685227981365,36283.1,3089.3,2185.9,297.489,6173.09,170947,6919013,54345,386749,926983848,1,5,2.98903979946279,1.1510725787948,0.451561950625142,2.76184722031447
"25",24,3.06358450200978,208,64,115469292,64,20218762,8045644,0.00339260470378494,52320,52282,0,50497,1170,0.99927370030581,0,0.965156727828746,0.0223623853211009,46677.3,3462.42,1971.55,347.845,6181.66,251987,471485,201127,73761,550240266,4,9,2.71080062904576,1.13014010295851,0.352783872964016,2.66306914265335
"26",25,4.33087215852859,4068,11145,140274886,11144,1464978,2310713,0.000805176653441523,72195,71535,448,71066,547,0.990858092665697,0.00620541588752684,0.984361797908442,0.00757670198767228,43966.7,3672.58,2170.07,429.473,7403.08,234152,9180554,198443,9033916,11349843915,20,67,3.40291540982254,1.27269462709167,0.927956748706054,3.23824201839538
"27",26,3.43940114047707,183,47,147124152,46,32626160,18537762,0.0076930220786111,61096,61024,0,59397,951,0.99882152677753,0,0.972191305486448,0.0155656671467854,43124.8,3232.94,2014.8,317.893,6662.01,101552,757733,58912,0,470835972,11,11,2.93486115912274,1.17191272567904,0.504539981354336,2.81482525104367
"28",27,3.77073462491926,18175,3160,111644748,3159,337730,65881322,0.0231853454186246,65202,63713,1375,63310,958,0.977163277200086,0.0210883101745345,0.970982485199841,0.0146928008343302,45413,4268.72,2183.21,490.721,7885.39,0,0,0,0,0,0,0,2.89407227633758,1.30291653589629,0.876662348581674,3.18694761827101
"29",28,3.58288419037488,199,94,130149454,93,36329944,21483976,0.00878612148850069,60556,60443,0,58883,863,0.998133958649845,0,0.972372679833542,0.0142512715503005,41527.7,3169.34,2150.78,318.602,6691.07,223710,748208,200682,0,5063033867,59,310,2.94106567052101,1.21822651778468,0.641818519853873,2.9521037895432
